,DienTich,DiaChi,City,District,MucGia,MatTien,DuongVao,PhapLy,Lat,Long,Ward
27,290.5,"Đường Tỉnh Lộ 765, Xã Long Tân, Đất Đỏ, Bà Rịa Vũng Tàu. Giá",77,753,3900000000.0,12.0,,1,10.5402554,107.2693764,26695
28,75.0,"Đường An Dương Vương, Thị trấn Khánh Hải, Ninh Hải, Ninh Thuận.",58,586,3360000000.0,10.0,,,11.5904286,109.036047,22834
29,592.0,"Đường Đồng Văn Cống, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",79,769,90000000000.0,,,1,10.7733465775196,106.768113509709,27112
30,188.0,"Thôn Kiêu kỵ, Đường Kiêu Kỵ, Xã Kiêu Kỵ, Gia Lâm, Hà Nội",1,18,,,2.0,1,20.9826923921679,105.959783258791,580
31,625.0,"Đường Quốc Lộ 13, Phường Hưng Long, Chơn Thành, Bình Phước",70,697,260000000.0,,,1,11.4388225,106.6155293,25432
32,160.0,"Xã Cổ Loa, Đông Anh, Hà Nội",1,17,3500000000.0,7.5,,1,21.115435710755182,105.86641596434868,505
33,250.0,"Đường Quốc lộ 14, Xã Tân Thành, Đồng Xoài, Bình Phước",70,689,490000000.0,,,1,11.515182,106.8061478,25207
34,100.0,"Đường Mã Lò, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",79,777,9200000000.0,4.0,,1,10.7683224,106.6031191,27448
35,58.0,"Đường Hiệp Bình, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",79,762,4400000000.0,,8.0,1,10.844812816079,106.729482139179,26812
36,1058.0,"Đường Phan Thị Vẽ, Xã An Nhơn Tây, Củ Chi, Hồ Chí Minh",79,783,3900000000.0,,,0,11.0769159015031,106.501683829919,27508
37,100.0,"Xã Ninh Quang, Ninh Hòa, Khánh Hòa",56,572,400000000.0,8.0,4.0,,12.4693912280637,109.098624774401,22588
38,1000.0,"Đường Võ Nguyên Giáp, Phường Mân Thái, Sơn Trà, Đà Nẵng",48,493,,15.0,,,16.0829995,108.247828,20269
39,112.0,"Đường Vành Đai 3.5, Xã Vân Canh, Hoài Đức, Hà Nội",1,274,,9.0,,1,21.033149,105.7321831,9862
40,520.0,"Đường Quốc Lộ 13, Xã Minh Hưng, Chơn Thành, Bình Phước",70,697,,20.0,12.0,1,11.4826423,106.6146081,25441
41,1796.5,"Thôn 5, Đường Đại lộ Thăng Long, Xã Phú Cát, Quốc Oai, Hà Nội",1,275,18000000000.0,,,1,20.9899818,105.5549823,9922
42,2002.0,"Đường Quốc Lộ 13, Phường Hưng Long, Chơn Thành, Bình Phước.",70,697,190000000.0,35.0,12.0,1,11.4388225,106.6155293,25432
43,51.2,"Đường Rạng Đông, Phường Biên Giang, Hà Đông, Hà Nội",1,268,2750000000.0,3.5,,1,20.931659,105.710042,10123
44,1243.0,"Đường Nguyễn Văn Tạo, Xã Hiệp Phước, Nhà Bè, Hồ Chí Minh",79,786,21500000000.0,21.5,20.0,1,10.6141993,106.7394698,27661
45,51.0,"Phố An Trung, Phường An Hải Tây, Sơn Trà, Đà Nẵng",48,493,3250000000.0,5.0,5.5,1,16.0606093,108.2327456,20278
46,1538.0,"Xã Phước Lộc, Đạ Huoai, Lâm Đồng",68,681,1200000000.0,10.0,8.0,1,11.4983778118805,107.623097238808,25123
47,90.0,"Đường 23, Xã Đại Thịnh, Mê Linh, Hà Nội",1,250,1890000000.0,5.0,,1,21.1865246,105.7217146,8974
48,105.0,"Đường Nguyễn Văn Tạo, Xã Long Thới, Nhà Bè, Hồ Chí Minh",79,786,2550000000.0,,6.0,,10.6511724,106.7300374,27658
49,60.0,"Đường 352, Xã Kỳ Sơn, Thủy Nguyên, Hải Phòng",31,311,295000000.0,4.5,5.0,1,20.9958830502579,106.602085082021,11482
50,230.0,"Đường 420, Xã Bình Yên, Thạch Thất, Hà Nội",1,276,3450000000.0,9.0,,1,21.0407028,105.5481172,9982
51,100.0,"Đường 10, Thị trấn Bến Lức, Bến Lức, Long An",80,803,1090000000.0,,,1,10.6398799,106.492737,27991
52,15000.0,"Đường Quốc Lộ 5, Xã Hùng Thắng, Bình Giang, Hải Dương",30,296,40350000000.0,,,,20.9339461,106.1937718,10954
53,38.0,"Đường Thành Trung, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",1,18,4800000000.0,3.0,3.0,1,21.0098369736242,105.935949923854,565
54,58.0,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",79,762,4400000000.0,4.0,5.0,1,10.8456757,106.7181539,26809
55,95.5,"Đường Vành Đai 3.5, Xã Vân Canh, Hoài Đức, Hà Nội",1,274,,7.63,9.0,1,21.033149,105.7321831,9862
56,3300.0,"Xã Tân Khánh Đông, Sa Đéc, Đồng Tháp",87,867,8199999999.999999,7.0,,,,,29914
57,89.0,"Xã Cổ Bi, Gia Lâm, Hà Nội",1,18,4450000000.0,,,,,,553
58,73.0,"Xã Kim Chung, Hoài Đức, Hà Nội",1,274,5550000000.0,4.3,,,21.0545648080067,105.715560726527,9853
59,90.0,"Xã Đông Yên, Quốc Oai, Hà Nội",1,275,1890000000.0,,,1,20.9293521784237,105.593348932381,9952
60,206.0,"Đường An Bình, Phường 3, Đà Lạt, Lâm Đồng",68,672,8600000000.0,,,1,11.9257374,108.4369842,24802
61,300.0,"Xã Khánh Đông, Khánh Vĩnh, Khánh Hòa",56,573,385000000.0,,16.0,1,12.3699407249441,109.001412620389,22621
62,362.0,"Đường 446, Xã Yên Bình, Thạch Thất, Hà Nội",1,276,4000000000.0,12.6,6.0,1,20.9880061797472,105.458362457149,4930
63,70.0,"Đường 420, Xã Tân Xã, Thạch Thất, Hà Nội",1,276,1300000000.0,5.0,7.0,1,21.0513661,105.5704087,10000
64,111.0,"Đường Vành Đai 3.5, Xã Vân Canh, Hoài Đức, Hà Nội",1,274,,9.27,10.0,,21.0398181781802,105.723975540414,9862
65,140.0,"Đường Quốc Lộ 55, Xã Láng Dài, Đất Đỏ, Bà Rịa Vũng Tàu",77,753,850000000.0,5.2,6.0,1,10.5132814207464,107.351391382001,26698
66,95.0,"Xã Vân Canh, Hoài Đức, Hà Nội",1,274,,7.6,,,21.0299186877905,105.724836748976,9862
67,1500.0,"Xã Tiến Xuân, Thạch Thất, Hà Nội",1,276,35000000000.0,,,1,20.9743395438122,105.479924142794,4936
68,48.0,"Xã Vân Canh, Hoài Đức, Hà Nội",1,274,,4.0,,1,21.0393718137391,105.723774594206,9862
69,1000.0,"Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận",60,593,,,,,10.8353292,108.0379885,22966
70,356.0,"Xã Tiến Xuân, Thạch Thất, Hà Nội",1,276,3900000000.0,,10.0,1,20.9743395438122,105.479924142794,4936
71,139.0,"Đường 782, Xã Bàu Đồn, Gò Dầu, Tây Ninh",72,710,429000000.0,5.0,8.0,1,11.1824275,106.320474,25666
72,368.0,"Xã Tiến Xuân, Thạch Thất, Hà Nội",1,276,3680000000.0,30.0,10.0,1,20.9743395438122,105.479924142794,4936
73,50.0,"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",1,268,6800000000.0,4.0,11.0,1,20.9709582,105.7470688,9886
74,95.5,"Xã Vân Canh, Hoài Đức, Hà Nội",1,274,,7.63,,1,21.030399369684,105.732218188185,9862
75,67.6,"Thôn Lương Nỗ, Xã Tiên Dương, Đông Anh, Hà Nội",1,17,4099999999.9999995,5.6,4.2,1,21.1529658072701,105.841093835547,472
76,5486.0,"Xã Hòa Ninh, Hòa Vang, Đà Nẵng",48,497,24687000000.0,,,,16.0487222841441,108.039322952448,20299
77,816.3,"Xã Vĩnh Phương, Nha Trang, Khánh Hòa",56,568,6230000000.0,45.0,,1,12.3104488344435,109.149975937178,22387
78,1478.0,"Xã Phước Lộc, Đạ Huoai, Lâm Đồng",68,681,1350000000.0,20.0,8.0,1,11.4983778118805,107.623097238808,25123
79,60.6,"Xã Tân Xã, Thạch Thất, Hà Nội",1,276,1500000000.0,5.0,6.0,1,,,10000
80,200.0,"Xã Song Phượng, Đan Phượng, Hà Nội",1,273,6000000000.0,7.0,13.0,4,21.0761314430797,105.663536371214,9829
81,417.0,"Phường 8, Đà Lạt, Lâm Đồng",68,672,18765000000.0,,,,,,24772
82,1567.0,"Đường Quốc Lộ 20, Xã Xuân Thọ, Đà Lạt, Lâm Đồng",68,672,16000000000.0,,,,11.9466931,108.5135145,24805
83,300.0,"Đường Vành Đai 4, Phường Thới Hòa, Bến Cát, Bình Dương",74,721,5600000000.0,48.0,12.0,1,11.081423,106.6756885,25846
84,58.0,"Đường Hiệp Bình, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",79,762,4200000000.0,8.0,7.0,1,10.8460077,106.7240903,26809
85,2206.8,"Xã Minh Hưng, Chơn Thành, Bình Phước",70,697,,52.0,24.0,1,11.4913137664563,106.625773248309,25441
86,88.6,"Phường An Lạc, Bình Tân, Hồ Chí Minh",79,777,5936200000.0,4.05,12.0,1,10.7264793191007,106.612036286819,27460
87,9796.5,"Khu công nghiệp Trần Quốc Toản, phường 11, thành phố Cao Lãnh, tỉnh Đồng Tháp.",87,866,24300000000.0,70.0,20.0,1,10.4850233,105.5832256,29863
88,288.0,"Đường 27, Xã Mê Linh, Lâm Hà, Lâm Đồng",68,676,860000000.0,5.9,6.5,1,11.886456729965,108.336251085621,24892
89,102.0,"48, Đường Đàm Quang Trung, Phường Long Biên, Long Biên, Hà Nội",1,4,25000000000.0,7.2,,1,21.0319821,105.9006367,145
90,310.0,"Đường Phạm Cự Lượng, Phường  An Hải Bắc, Sơn Trà, Đà Nẵng",48,493,12090000000.0,,,1,16.0603014,108.2362951,20272
91,661.0,"Đường Hoàng Sa, Phường Phước Mỹ, Sơn Trà, Đà Nẵng",48,493,,,,,16.1032577,108.2818646,20275
92,855.6,"Đường 30/4, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",48,492,,,,,16.0446837,108.2185745,20257
93,600.0,"Đường Võ Nguyên Giáp, Phường Phước Mỹ, Sơn Trà, Đà Nẵng",48,493,,,,,16.0574731,108.2465536,20275
94,144.1,"Xã Phú Cát, Quốc Oai, Hà Nội",1,275,4600000000.0,,,,,,9922
95,245.0,"Thôn Nhuế, Đường Kênh Giữa, Xã Kim Chung, Đông Anh, Hà Nội",1,17,15655500000.0,9.2,8.0,1,21.1320069,105.7772526,493
96,7480.0,"Đường Láng Lớn - Xà Bang, Xã Xà Bang, Châu Đức, Bà Rịa Vũng Tàu",77,750,10500000000.0,14.0,14.0,1,10.7201061321883,107.207109336463,26596
97,2902.0,"Đường Quốc Lộ 13, Xã Minh Hưng, Chơn Thành, Bình Phước",70,697,560000000.0,33.0,42.0,1,11.4826423,106.6146081,25441
98,111.3,"Xã Vân Canh, Hoài Đức, Hà Nội",1,274,13578600000.0,9.27,10.0,1,,,9862
99,70.0,"Xã Xuân Trường, Đà Lạt, Lâm Đồng",68,672,2350000000.0,,6.0,1,11.8877123006224,108.529567065602,24811
100,108.0,"Xã Hồng Tiến, Phổ Yên, Thái Nguyên.",19,172,3996000000.0,6.0,21.5,1,21.4538910334722,105.885389035617,5869
101,200.0,"Đường Trần Vĩnh Lộc, Xã An Viễn, Trảng Bom, Đồng Nai",75,737,2500000000.0,5.0,7.0,1,10.8870930081318,106.992778429216,26296
102,158.0,"Đường Tỉnh lộ 523, Xã Thành Mỹ, Thạch Thành, Thanh Hóa.",38,391,130000000.0,,,1,20.2755081116862,105.563720085586,15223
103,45.0,"Đường Nghĩa Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",1,268,4400000000.0,4.0,,1,20.9511784,105.7397484,9562
104,3646.0,"Phường 7, Đà Lạt, Lâm Đồng",68,672,36000000000.0,27.7,,,11.9809080414281,108.39899652707,24769
105,116.0,"Đường Võ Văn Kiệt, Xã Hòa Long, Bà Rịa, Bà Rịa Vũng Tàu",77,748,1650000000.0,,,1,10.5382154651455,107.214831274683,26572
106,90.0,"Xã Đình Tổ, Thuận Thành, Bắc Ninh",27,262,2070000000.0,5.0,10.0,,,,9415
107,506.0,"Đường 12, Xã Minh Thành, Chơn Thành, Bình Phước",70,697,499000000.0,22.0,18.0,1,11.4255525443056,106.697456157977,25447
108,56.0,"Đường Lại Đà, Xã Đông Hội, Đông Anh, Hà Nội",1,17,3500000000.0,4.0,2.7,1,21.0794836,105.8680677,523
109,561.0,"Xã Tân Vĩnh Hiệp, Tân Uyên, Bình Dương",74,723,4800000000.0,,,,11.0202300200949,106.725318331345,25933
110,13250.0,"Xã Thanh Sơn, Lương Sơn, Hòa Bình",17,152,27000000000.0,100.0,13.25,1,20.6386786523428,105.650684612782,5041
111,2238.8,"Đường Gò Me, Xã Hiệp Phước, Nhà Bè, Hồ Chí Minh",79,786,5900000000.0,17.0,5.0,1,10.5943863,106.7329796,27661
112,11242.0,"Đường Quốc Lộ 20, Xã Xuân Trường, Đà Lạt, Lâm Đồng",68,672,18000000000.0,51.7,12.0,1,11.8838871,108.5520136,24811
113,1680.0,"Đường Quốc Lộ 13, Xã Minh Hưng, Chơn Thành, Bình Phước",70,697,280000000.0,25.0,18.0,1,11.4826423,106.6146081,25441
114,187.3,"Đường Xuân Canh, Xã Xuân Canh, Đông Anh, Hà Nội",1,17,14609400000.0,9.4,,,21.0973654,105.8495796,511
115,120.0,"Đường Số 23, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",79,762,12000000000.0,8.0,12.0,,10.8288372,106.7261815,26812
116,516.6,"Xã Đại Phước, Nhơn Trạch, Đồng Nai",75,742,7232400000.0,,,1,10.7474884459403,106.811695289161,26476
117,485.0,"Xã Long Nguyên, Bàu Bàng, Bình Dương",74,719,3200000000.0,,,1,,,25828
118,97.8,"Đường 420, Xã Lại Thượng, Thạch Thất, Hà Nội",1,276,1830000000.0,6.0,7.0,1,21.0693871,105.5574745,9964
119,2250.0,"Xã Đam Bri, Bảo Lộc, Lâm Đồng",68,673,8500000000.0,80.0,5.0,1,11.609691664439,107.76718479065,24832
120,80.0,"Thôn Bạch Đa, Đường Bắc Thăng Long, Xã Kim Hoa, Mê Linh, Hà Nội",1,250,,5.0,,,21.2143877412551,105.741171048249,8977
121,83.0,"Phường Bình An, Dĩ An, Bình Dương",74,724,2600000000.0,3.4,,,10.9029034654198,106.805662195973,25951
122,71.0,"Đường Số 494, Phường Tăng Nhơn Phú A, Thủ Đức, Hồ Chí Minh",79,769,3200000000.0,,4.0,1,10.8425301735942,106.800613327296,26842
123,200.0,"Xã Hòa Thạch, Quốc Oai, Hà Nội",1,275,1700000000.0,6.0,4.5,1,,,9949
124,148.0,"Xã Minh Trí, Huyện Sóc Sơn, Hà Nội",1,16,1920000000.0,6.0,7.0,1,21.2899635485622,105.756939890241,382
125,204.0,"Đường 39, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",79,762,13500000000.0,12.0,5.5,,10.8465660040543,106.749683658405,26821
126,369.0,"Đường Trần Hưng Đạo, Phường An Hải Tây, Sơn Trà, Đà Nẵng",48,493,,18.0,,1,16.0597982,108.2304737,20278
127,60.0,"Đường Đại lộ Thăng Long, Xã An Thượng, Hoài Đức, Hà Nội",1,274,5880000000.0,4.5,10.0,1,21.0069448,105.6982731,9880
128,14552.0,"Đường Tỉnh lộ 8, Xã Khánh Đông, Khánh Vĩnh, Khánh Hòa",56,573,5500000000.0,,,1,12.34873,108.9770375,22621
129,360000.0,"Xã Y Tý, Bát Xát, Lào Cai",10,82,30500000000.0,,,,,,2701
130,330.0,"Thôn Trại Mít, Xã Hiền Ninh, Huyện Sóc Sơn, Hà Nội",1,16,3900000000.0,9.0,7.5,1,21.2347862768442,105.782540261879,412
131,837.0,"Đường Trần Thị Bốc, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh",79,784,30000000000.0,,,1,10.8939573,106.6039447,27574
132,40200.0,"Xã Tân Thắng, Hàm Tân, Bình Thuận",60,601,22000000000.0,,,,10.6763118722886,107.574139237228,23254
133,1160.0,"Tổ 9, Thị trấn Quang Minh, Mê Linh, Hà Nội",1,250,65000000000.0,55.0,,1,21.1891191848336,105.773061737976,8989
134,200000.0,"Xã Đạ Sar, Lạc Dương, Lâm Đồng",68,675,,,,1,12.0393391292021,108.528712009035,24865
135,170.0,"200, Đường Trưng Nữ Vương, Phường Bình Thuận, Hải Châu, Đà Nẵng",48,492,25500000000.0,8.4,15.0,1,16.0503101,108.2152047,20254
136,1003.0,"Xã Vĩnh Thanh, Nhơn Trạch, Đồng Nai",75,742,3200000000.0,,,1,10.6778601279845,106.85794581431,26497
137,150.0,"Xã Thuỷ Xuân Tiên, Chương Mỹ, Hà Nội",1,277,4500000000.0,,,1,20.8805461186898,105.584795779657,10045
138,374.0,"Đường 14B, Xã Hòa Khương, Hòa Vang, Đà Nẵng",48,497,,14.0,34.0,1,15.9285723,108.1244422,20332
139,70.0,"Xã Dục Tú, Đông Anh, Hà Nội",1,17,5100000000.0,5.0,8.0,,21.114068972920826,105.89697071640255,496
140,48.2,"Quyết Tiến, Đường Đại lộ Thăng Long, Xã Vân Côn, Hoài Đức, Hà Nội.",1,274,1928000000.0,4.3,4.0,,21.0041479,105.6781472,9883
141,57.5,"Phố 72, Xã Vân Côn, Hoài Đức, Hà Nội",1,274,,4.5,3.0,1,20.9917365,105.6793792,9883
142,4120.0,"Xã Suối Tiên, Diên Khánh, Khánh Hòa",56,574,10300000000.0,74.0,3.5,1,12.1959035070164,109.029341985675,22705
143,235.33,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",79,778,3150000000.0,,,1,10.7265381,106.7335818,27484
144,100.0,"Đường Nguyễn Trung Trực, Phường An Hòa, Biên Hòa, Đồng Nai",75,731,1250000000.0,,,1,10.8910917,106.8899998,26371
145,150.0,"Xã Phước Đông, Gò Dầu, Tây Ninh",72,710,699000000.0,,,1,11.1159187526724,106.323317763236,25672
146,522.4,"Xã Bình Quới, Châu Thành, Long An",80,808,3500000000.0,,,,,,28213
147,105.0,"Xã Thụy Lâm, Đông Anh, Hà Nội",1,17,5700000000.0,4.5,7.0,,21.1770484013551,105.90115907783853,460
148,100.0,"Thị trấn Quất Lâm, Huyện Giao Thủy, Nam Định",36,365,1420000000.0,,,1,20.1934274503717,106.364663628763,14152
149,150.0,"Đường Quốc lộ 14C, Xã Long Giang, Bến Cầu, Tây Ninh",72,711,399000000.0,,,1,11.158492920876466,106.07156733405982,25690
150,100.0,"Đường Ngô Gia Tự, Phường Nam Hải, Hải An, Hải Phòng",31,306,2850000000.0,5.0,10.0,1,20.823763,106.737113,11419
151,272.0,"Đường Yên Bình, Xã Yên Bình, Thạch Thất, Hà Nội",1,276,2040000000.0,12.0,5.0,1,21.0053043093455,105.463993795801,4930
152,86.0,"Đường Nguyễn Hữu Cảnh, Phường Bình Nhâm, Thuận An, Bình Dương",74,725,1350000000.0,6.0,8.0,1,10.9291965,106.702477,25984
153,130.1,"Ngõ 29, Đường Chu Huy Mân, Phường Phúc Đồng, Long Biên, Hà Nội",1,4,10500000000.0,,,1,21.0384,105.9031263,151
154,100.0,"Xã Kim Sơn, Gia Lâm, Hà Nội",1,18,4200000000.0,5.0,,,21.024866897061,105.991582915545,562
155,80.0,"Đường 1, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh",79,762,,,,1,10.8698439,106.7326928,26797
156,238.0,"Xã Xuân Hồng, Thọ Xuân, Thanh Hóa.",38,395,1250000000.0,,,1,19.934145311421577,105.55480541669351,15493
157,1500.0,"Đường Liên Xã, Xã Quan Lạn, Vân Đồn, Quảng Ninh",22,203,,60.0,24.0,1,20.9145224904051,107.531968319727,7024
158,58.0,"Đường Hội Phụ, Xã Đông Hội, Đông Anh, Hà Nội",1,17,3500000000.0,4.1,2.3,1,21.0856379,105.8738018,523
159,300.0,"Dự án Thạch Thất Quốc Oai, Quốc Oai, Hà Nội",1,275,,11.0,10.0,1,21.004442,105.63063,
160,200.0,"Phường Bắc Sơn, Bỉm Sơn, Thanh Hóa",38,381,,6.0,9.0,1,20.10892444722394,105.86445532112606,14809
161,61.0,"Xã Tân Xã, Huyện Thạch Thất, Hà Nội",1,276,1400000000.0,4.0,3.5,1,21.0197756016209,105.545156116225,10000
162,1000.0,"Xã Long Tân, Đất Đỏ, Bà Rịa Vũng Tàu",77,753,2600000000.0,,,,10.5435580529165,107.276258233838,26695
163,2932.0,"Xã Xuân Đông, Cẩm Mỹ, Đồng Nai",75,739,2200000000.0,26.0,6.0,1,10.8060986094736,107.399288161873,26359
164,146.8,"Thôn Tam Cảnh, Xã Đồng Trúc, Thạch Thất, Hà Nội",1,276,2250000000.0,7.88,4.0,1,21.0040920231348,105.566970049859,10012
165,62.0,"Xã Xuân Nộn, Huyện Đông Anh, Hà Nội",1,17,2450000000.0,4.1,5.0,1,21.187591140325896,105.8693336035333,457
166,40.0,"Thôn Thượng Thụy, Xã Đức Thượng, Hoài Đức, Hà Nội",1,274,2600000000.0,4.7,,1,21.077341461957,105.691449068866,9835
167,200.0,"Thị trấn Lương Bằng, Kim Động, Hưng Yên",33,331,,6.2,8.0,1,20.7390597669576,106.066486415506,12280
168,380.0,"Đường Đại lộ Thăng Long, Xã Yên Bình, Thạch Thất, Hà Nội",1,276,3900000000.0,12.39,,1,21.0064235,105.7871419,4930
169,200.0,"Xã Hà Long, Hà Trung, Thanh Hóa",38,392,,6.0,9.0,1,20.106535490679747,105.80820586517787,15274
170,250.0,"Đường Quốc lộ 14, Xã Tân Thành, Đồng Xoài, Bình Phước",70,689,650000000.0,,,1,11.515182,106.8061478,25207
171,200.0,"Đường Tỉnh Lộ 480, Thị trấn Yên Thịnh, Yên Mô, Ninh Bình",37,377,320000000.0,6.0,9.0,1,20.1188847,106.0202484,14701
172,200.0,"Đường Quốc lộ 1A, Xã Châu Can, Phú Xuyên, Hà Nội",1,280,,6.0,8.0,1,20.6840994,105.912098,10348
173,95.5,"Đường Vành Đai 3.5, Xã Vân Canh, Hoài Đức, Hà Nội",1,274,11269000000.0,7.63,9.0,1,21.033149,105.7321831,9862
174,1629.0,"Đường Nguyễn Thị Rành, Xã Nhuận Đức, Củ Chi, Hồ Chí Minh",79,783,6800000000.0,6.0,20.0,1,11.0412594,106.4850519,27511
175,125.4,"Tổ 4 khu 9, Phường Hồng Hải, Hạ Long, Quảng Ninh",22,193,2500000000.0,,,1,,,6688
176,104.4,"Xã Xuân Nộn, Đông Anh, Hà Nội",1,17,3130000000.0,4.0,30.0,1,21.1875911403259,105.869333603533,457
177,3000.0,"Xã Bưng Riềng, Xuyên Mộc, Bà Rịa Vũng Tàu",77,751,9500000000.0,,5.0,,10.570732333814,107.500884516372,26653
178,838.0,"Đường Lê Đức Thọ, Phường Thọ Quang, Sơn Trà, Đà Nẵng",48,493,40000000000.0,34.0,21.0,1,16.104507,108.2426056,20263
179,56.0,"Đường Hồ Học Lãm, Phường An Lạc, Bình Tân, Hồ Chí Minh",79,777,3640000000.0,4.0,12.0,1,10.7227137,106.6106917,27460
180,258.0,"Đường 2/9, Phường  Hòa Thuận Đông, Hải Châu, Đà Nẵng",48,492,39000000000.0,12.0,7.5,1,16.0792406,108.2149453,20246
181,80.0,"Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",79,762,4680000000.0,4.0,,,10.8529375048447,106.719954533174,26809
182,110.0,"Xã Đông Tảo, Huyện Khoái Châu, Hưng Yên",33,330,,7.6,3.0,,20.8916905596844,105.955354983578,12208
