,DienTich,DiaChi,City,District,MucGia,SoPhongNgu,SoToilet,NoiThat,Lat,Long,HuongNha,HuongBanCong,PhapLy,Ward
12,94.0,"Dự án Resco Cổ Nhuế, Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội.",1,21,3650000000.0,3.0,2.0,2,21.0590057373047,105.783226013184,1,2,1,617
13,140.0,"Dự án The Grand Hà Nội, Phố Hai Bà Trưng, Phường Hàng Bài, Hoàn Kiếm, Hà Nội",1,2,,,,2,21.023656845092773,105.85282135009766,,,,88
14,42.8,"Dự án The Miami, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",1,19,2200000000.0,1.0,1.0,,21.006574630737305,105.74504852294922,,,,628
15,92.0,"Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",1,4,4400000000.0,3.0,2.0,2,21.0690975189209,105.8880386352539,5,7,4,124
16,75.0,"Dự án Seasons Avenue, Phường Mỗ Lao, Hà Đông, Hà Nội",1,268,3500000000.0,2.0,2.0,,20.98702621459961,105.78683471679688,,,,9541
17,62.0,"Dự án The Beverly - Vinhomes Ocean Park, Huyện Gia Lâm, Hà Nội",1,18,3300000000.0,2.0,2.0,3,20.994806,105.94649,,,1,
18,46.0,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",1,18,1800000000.0,1.0,1.0,,21.0024147033691,105.964111328125,,,,571
19,224.0,"Golden Field Mỹ Đình, 24, Đường Nguyễn Cơ Thạch, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",1,19,11900000000.0,4.0,3.0,,21.035105,105.76554,,6,,592
20,75.0,"Eco Dream, 300, Đường Nguyễn Xiển, Xã Tân Triều, Thanh Trì, Hà Nội",1,20,3800000000.0,2.0,2.0,2,20.9830627441406,105.80908203125,,,1,643
21,43.0,"Dự án The East Gate, Đường Tân Lập, Phường Đông Hòa, Dĩ An, Bình Dương",74,724,1290000000.0,1.0,,3,10.881562232971191,106.81275177001953,,,1,25957
22,65.4,"Dự án FLC Garden City, Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",1,19,3140000000.0,2.0,2.0,2,20.9914360046387,105.756065368652,2,1,1,634
23,70.0,"Dự án Lavita Garden, Đường 3, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",79,762,2480000000.0,2.0,2.0,2,10.8337841033936,106.760665893555,,,,26827
24,128.0,"Dự án N03-T3&T4 Ngoại Giao Đoàn, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",1,21,9100000000.0,3.0,3.0,3,21.0644302368164,105.79842376709,1,3,1,610
25,30.2,"Dự án Legacy Prime, Đường Thuận Giao 25, Phường Thuận Giao, Thuận An, Bình Dương",74,725,1150000000.0,,1.0,3,10.958067893981934,106.7197036743164,5,8,4,25972
26,77.0,"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",1,19,4400000000.0,2.0,2.0,,21.030731201171875,105.7613296508789,5,8,1,592
27,70.0,"Dự án Hưng Ngân Garden, Đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",79,761,1800000000.0,3.0,2.0,,10.858521461486816,106.63079833984375,,,,26776
28,52.0,"Dự án D-Homme, Đường Hồng Bàng, Phường 6, Quận 6, Hồ Chí Minh",79,775,3300000000.0,2.0,2.0,3,10.755263328552246,106.63936614990234,,,,27355
29,29.32,"Dự án Harbor Residence, Đường Lê Lai, Phường Máy Chai, Ngô Quyền, Hải Phòng.",31,304,580000000.0,1.0,,,20.86676788330078,106.7011947631836,,,,11329
30,69.0,"Dự án Lavita Garden, Đường Số 3, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",79,762,2380000000.0,2.0,2.0,,10.8337841033936,106.760665893555,,,4,26827
31,60.0,"Dự án FLC Green Apartment, Đường Phạm Hùng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",1,19,2800000000.0,2.0,2.0,2,21.029512405395508,105.77908325195312,,,4,626
32,90.0,"An Bình City, 232, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",1,21,5450000000.0,3.0,2.0,2,21.049566,105.778595,3,4,1,616
33,51.0,"Saigon Asiana, 336, Đường Nguyễn Văn Luông, Phường 12, Quận 6, Hồ Chí Minh",79,775,2900000000.0,1.0,1.0,3,10.749305725097656,106.63538360595703,6,7,1,27358
34,136.0,"Dự án MHD Trung Văn, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội",1,19,7400000000.0,4.0,2.0,0,20.991954803466797,105.78510284423828,5,6,1,637
35,95.0,"Đường Nguyễn Văn Huyên, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",1,5,6000000000.0,2.0,2.0,2,21.0404324,105.7974922,,,1,160
36,136.0,"MHD Trung Văn, 29, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội",1,19,7400000000.0,4.0,2.0,3,20.991955,105.7851,7,6,1,637
37,69.5,"Dự án Trust City Văn Giang, Xã Cửu Cao, Văn Giang, Hưng Yên",33,326,,2.0,1.0,,20.960935592651367,105.94355010986328,,,,12025
38,83.3,"Dự án Vũng Tàu Melody, Đường Hoàng Hoa Thám, Phường Thắng Tam, Vũng Tàu, Bà Rịa Vũng Tàu",77,747,3050000000.0,2.0,2.0,2,10.33751106262207,107.0855941772461,,,1,26508
39,67.0,"Dự án SDU 143 Trần Phú, Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",1,268,2600000000.0,2.0,2.0,0,20.97731590271,105.784957885742,6,7,1,9542
40,32.0,"Charmington La Pointe, 181, Đường Cao Thắng, Phường 12, Quận 10, Hồ Chí Minh",79,771,1600000000.0,1.0,1.0,,10.7747411727905,106.674629211426,,,,27172
41,79.4,"Phường Yên Sở, Hoàng Mai, Hà Nội",1,8,3600000000.0,2.0,2.0,,20.963634333781947,105.86808085904002,,,,340
42,70.0,"Dự án Kingdom 101, Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",79,771,5000000000.0,2.0,2.0,1,10.7759380340576,106.661918640137,,,,27169
43,72.6,"Dự án Mỹ Đình Plaza 2, Đường Nguyễn Hoàng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",1,19,4200000000.0,2.0,2.0,3,21.0310840606689,105.774566650391,6,3,,626
44,86.5,"An Bình City, 232, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",1,21,,3.0,2.0,2,21.0495662689209,105.77859497070312,,,1,616
45,110.0,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",1,7,8800000000.0,3.0,2.0,2,20.9947910308838,105.86784362793,3,7,1,283
46,141.0,"Dự án Hồ Gươm Plaza, Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội",1,268,5300000000.0,3.0,2.0,2,20.979290008544922,105.78546142578125,8,5,1,9541
47,105.0,"Dự án N01-T7 Ngoại Giao Đoàn, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",1,21,,3.0,2.0,,21.063575744628906,105.7953109741211,1,1,,611
48,75.0,"FLC Complex Phạm Hùng, 36, Đường Phạm Hùng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",1,19,4000000000.0,2.0,2.0,,21.02819,105.7792,,,,626
49,70.0,"Dự án Home City - Trung Kính Complex, Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",1,5,3900000000.0,2.0,2.0,2,21.016098022460938,105.79248809814453,7,6,1,172
50,85.0,"Dự án Topaz Elite, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",79,776,2920000000.0,3.0,2.0,,10.7440843582153,106.675910949707,,,,27409
51,56.0,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",79,785,2650000000.0,2.0,1.0,2,10.724812507629395,106.66439056396484,2,1,1,27619
52,72.0,"Dự án Sky 89, Đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Hồ Chí Minh",79,778,3600000000.0,2.0,2.0,1,10.7143297195435,106.741432189941,,,,27484
53,78.0,"Dự án Topaz Elite, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",79,776,2780000000.0,2.0,2.0,2,10.7440843582153,106.675910949707,,,2,27409
54,85.0,"Dự án Topaz Elite, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",79,776,3150000000.0,3.0,2.0,2,10.7440843582153,106.675910949707,,,,27409
55,100.0,"Dự án Vườn Xuân - 71 Nguyễn Chí Thanh, Phường Láng Hạ, Đống Đa, Hà Nội",1,6,,2.0,2.0,2,21.015371322631836,105.81288146972656,5,8,1,199
56,75.0,"Dự án Kim Văn Kim Lũ, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Hoàng Mai, Hà Nội",1,8,3550000000.0,2.0,2.0,3,20.973291397094727,105.82000732421875,5,8,1,316
57,86.0,"Dự án Tropic Garden, Đường 66, Phường Thảo Điền, Quận 2, Hồ Chí Minh",79,769,5200000000.0,3.0,2.0,,10.813972473144531,106.72784423828125,,,4,27088
58,75.0,"Akari City Nam Long, số 77, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh",79,777,2950000000.0,2.0,2.0,2,10.72211742401123,106.61175537109375,1,,1,27460
59,78.0,"Dự án Topaz Elite, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",79,776,2750000000.0,2.0,2.0,,10.744084358215332,106.67591094970703,,,,27409
60,51.0,"Dự án Saigon Asiana, Đường Nguyễn Văn Luông, Phường 12, Quận 6, Hồ Chí Minh",79,775,2800000000.0,1.0,1.0,,10.749305725097656,106.63538360595703,,,4,27358
61,70.0,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",1,18,2600000000.0,2.0,2.0,3,21.00241470336914,105.964111328125,,,1,571
62,73.0,"Dự án The Sun Avenue, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",79,769,4300000000.0,2.0,2.0,2,10.788448333740234,106.75196838378906,,,4,27091
63,55.0,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",79,763,1880000000.0,2.0,1.0,,10.841423034668,106.840118408203,,,,26833
64,75.0,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh",79,777,3170000000.0,2.0,2.0,3,10.72211742401123,106.61175537109375,,,1,27460
65,56.0,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh",79,777,2560000000.0,2.0,1.0,2,10.72211742401123,106.61175537109375,1,,1,27460
66,60.0,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh.",79,785,2980000000.0,2.0,1.0,3,10.7248125076294,106.664390563965,4,3,4,27619
67,86.0,"Dự án Hemisco Xa La, Đường Xa La, Phường Phúc La, Hà Đông, Hà Nội",1,268,,,,,20.961841583251953,105.79552459716797,,,1,9553
68,60.0,"Dự án The Ori Garden, Đường Mê Linh, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",48,490,1510000000.0,2.0,2.0,3,16.0923728942871,108.126586914063,,5,1,20195
69,71.0,"Dự án Diamond Sea (Lapen Center), Đường 30/4, Phường 9, Vũng Tàu, Bà Rịa Vũng Tàu",77,747,2300000000.0,2.0,2.0,,10.3692750930786,107.083351135254,,,,26530
70,108.0,"Dự án ĐTM Dịch Vọng, Đường Thành Thái, Phường Dịch Vọng, Cầu Giấy, Hà Nội",1,5,5500000000.0,3.0,2.0,2,21.029238,105.79385,,,1,166
71,63.0,"Dự án Lumi Hanoi, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",1,19,,,,,21.006216049194336,105.7364730834961,,,,628
72,61.0,"Dự án Vinhomes Grand Park, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",79,763,2150000000.0,2.0,1.0,,10.841423034667969,106.84011840820312,,,4,26833
73,70.0,"Dự án The Ori Garden, Đường Mê Linh, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",48,490,1730000000.0,3.0,2.0,3,16.0923728942871,108.126586914063,,6,1,20195
74,76.0,"Saigonres Plaza, 188, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",79,765,2600000000.0,2.0,2.0,,10.8161535263062,106.707344055176,,,,26914
75,66.0,"Đường 28, Phường Phước Long, Nha Trang, Khánh Hòa",56,568,1350000000.0,2.0,1.0,,12.2113535,109.194625,5,8,1,22378
76,104.0,"Dự án Hồ Gươm Plaza, Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội.",1,268,,3.0,2.0,2,20.9792900085449,105.785461425781,5,,4,9541
77,54.3,"Vũng Tàu Gold Sea, 172, Đường Hoàng Hoa Thám, Phường 2, Vũng Tàu, Bà Rịa Vũng Tàu",77,747,2100000000.0,1.0,1.0,,10.342211,107.07673,6,2,1,26509
78,118.6,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",79,767,6850000000.0,3.0,2.0,,10.8039054870605,106.616683959961,,,,27016
79,98.0,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",79,785,4099999999.9999995,3.0,2.0,2,10.724812507629395,106.66439056396484,3,,1,27619
80,85.4,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",79,767,5070000000.0,2.0,2.0,,10.8039054870605,106.616683959961,,,,27016
81,99.8,"Dự án Roman Plaza, Đường Tố Hữu, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",1,19,5600000000.0,3.0,2.0,2,20.98434066772461,105.77680969238281,,6,1,634
82,75.5,"Dự án 90 Nguyễn Tuân, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",1,9,4400000000.0,2.0,2.0,1,20.9962978363037,105.805633544922,8,6,1,355
83,74.0,"Dự án Khu đô thị Kim Văn - Kim Lũ (Golden Silk), Quận Hoàng Mai, Hà Nội",1,8,3300000000.0,2.0,2.0,2,20.973291,105.82001,,6,1,
84,70.0,"T&T Tower, 120, Đường Định Công, Phường Định Công, Hoàng Mai, Hà Nội",1,8,3500000000.0,2.0,2.0,2,20.9830341339111,105.835113525391,,,1,307
85,83.0,"Dự án Florence Mỹ Đình, 28 Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",1,19,4600000000.0,2.0,2.0,2,21.030731201171875,105.7613296508789,,,4,592
86,59.0,"Dự án Vinhomes Grand Park, Phường Long Bình, Quận 9, Hồ Chí Minh",79,763,2250000000.0,2.0,1.0,0,10.841423034667969,106.84011840820312,,,1,26830
87,47.0,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",79,763,1860000000.0,2.0,1.0,2,10.841423034667969,106.84011840820312,,,1,26833
88,65.0,"Dự án RichStar, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",79,767,2700000000.0,2.0,2.0,2,10.7723159790039,106.625511169434,,,4,27037
89,84.0,"Dự án N03-T8 Ngoại Giao Đoàn, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",1,21,5200000000.0,3.0,2.0,2,21.064998626708984,105.80028533935547,,,1,610
90,89.0,"Dự án Thảo Điền Green, Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",79,769,11600000000.0,2.0,2.0,3,10.817425727844238,106.73127746582031,,,4,27088
91,72.0,"Dự án Hưng Ngân Garden, Đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",79,761,1850000000.0,3.0,2.0,2,10.858521461486816,106.63079833984375,,,1,26776
92,142.0,"Dự án The Wisteria, Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội",1,274,7600000000.0,4.0,3.0,0,21.0751037597656,105.698188781738,6,6,4,9844
93,142.0,"Dự án Green Diamond 93 Láng Hạ, Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",1,6,13000000000.0,3.0,2.0,,21.016826629638672,105.81522369384766,6,7,1,199
94,127.0,"Dự án Thảo Điền Green,  Quận 2, Hồ Chí Minh",79,,19000000000.0,3.0,2.0,3,10.817426,106.73128,,,4,
95,69.0,"Dự án Mỹ Đình I, Đường Nguyễn Cơ Thạch, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",1,19,3200000000.0,2.0,2.0,0,21.034912109375,105.764404296875,,,1,592
96,55.0,"Dự án Thảo Điền Green, Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",79,769,6500000000.0,1.0,1.0,3,10.817425727844238,106.73127746582031,,,4,27088
97,53.0,"Cầu Giấy Center Point, 110, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",1,5,4099999999.9999995,2.0,2.0,2,21.032211303710938,105.79969787597656,,,1,169
98,70.0,"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",33,326,3200000000.0,2.0,,,20.9424362182617,105.955299377441,,,,12034
99,67.0,"Dự án Moonlight 1 - An Lạc Green Symphony, Xã An Khánh, Hoài Đức, Hà Nội",1,274,3600000000.0,2.0,2.0,2,21.024394989013672,105.72908782958984,,,1,9877
100,84.2,"Dự án Thảo Điền Green, Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",79,769,11700000000.0,2.0,2.0,3,10.817425727844238,106.73127746582031,,,4,27088
101,80.0,"Hoàng Thành Pearl, 55, Đường Nguyễn Văn Giáp, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội",1,19,4500000000.0,2.0,2.0,,21.0401592254639,105.76131439209,,5,,592
102,58.0,"Dự án Wilton Tower, Phường 25, Bình Thạnh, Hồ Chí Minh",79,765,4350000000.0,2.0,1.0,2,10.801501274108887,106.71762084960938,,,1,26920
103,89.0,"Dự án Diamond Island,  Quận 2, Hồ Chí Minh",79,,7400000000.0,2.0,2.0,2,10.778997,106.74719,,,4,
104,112.0,"Dự án Hoàng Thành Pearl, Đường Nguyễn Văn Giáp, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội",1,19,,3.0,2.0,2,21.0401592254639,105.76131439209,6,,4,592
105,79.0,"Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",1,7,,2.0,2.0,,20.994333267211914,105.86756134033203,,,,283
106,131.0,"Dự án Thảo Điền Green, Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",79,769,21500000000.0,3.0,2.0,1,10.817425727844238,106.73127746582031,,,4,27088
107,101.0,"Watermark Tây Hồ, 395, Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",1,5,10400000000.0,2.0,2.0,2,21.0555477142334,105.80859375,,,1,157
108,80.0,"Hoàng Thành Pearl, Số 55, Đường Nguyễn Văn Giáp, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội",1,19,5300000000.0,2.0,2.0,2,21.04016,105.761314,5,5,4,592
109,68.0,"Dự án Ehome 5-The Bridgeview, Đường Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",79,778,2700000000.0,2.0,2.0,,10.743570327758789,106.73300170898438,,,1,27466
110,91.2,"Dự án Xuân Phương Residence, Đường Trịnh Văn Bô, Phường Phương Canh, Nam Từ Liêm, Hà Nội",1,19,,3.0,2.0,2,21.032726287841797,105.75374603271484,,8,1,623
111,68.0,"Dự án SGC Nguyễn Cửu Vân, Đường Nguyễn Cửu Vân, Phường 17, Bình Thạnh, Hồ Chí Minh",79,765,3600000000.0,2.0,2.0,0,10.797120094299316,106.70642852783203,,,1,26950
112,105.0,"Dự án Làng Quốc tế Thăng Long, Đường Trần Đăng Ninh, Phường Dịch Vọng, Cầu Giấy, Hà Nội",1,5,5800000000.0,2.0,2.0,3,21.0402507781982,105.791084289551,,,1,166
113,48.0,"Dự án Saigonhomes, Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",79,777,1480000000.0,1.0,1.0,,10.7677593231201,106.596260070801,,,,27448
114,62.0,"Dự án The Beverly - Vinhomes Ocean Park, Huyện Gia Lâm, Hà Nội",1,18,3300000000.0,2.0,2.0,3,20.994806,105.94649,8,5,1,
115,141.92,"Dự án Golden Palace, đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",1,19,7700000000.0,4.0,30.0,2,21.01193618774414,105.77499389648438,,,1,631
116,105.0,"Dự án Galaxy 9, Đường Nguyễn Khoái, Phường 1, Quận 4, Hồ Chí Minh",79,773,5700000000.0,3.0,3.0,,10.755169868469238,106.6942367553711,,5,,27298
117,54.0,"Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",1,19,4250000000.0,2.0,2.0,3,21.006206512451172,105.73707580566406,,5,4,628
118,120.0,"Cantavil Hoàn Cầu, 600A, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",79,765,6200000000.0,3.0,2.0,,10.798961639404297,106.7170639038086,,,,26956
119,68.0,"Hưng Ngân Garden, 48A, Đường Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",79,761,1800000000.0,2.0,2.0,2,10.858521461486816,106.63079833984375,,,1,26776
120,63.0,"Dự án Bcons Garden, Đường Phạm Hữu Lầu, Phường Dĩ An, Dĩ An, Bình Dương",74,724,1650000000.0,2.0,2.0,,10.9047269821167,106.75171661376953,,,,25942
121,86.0,"Dự án Tropic Garden, Đường 66, Phường Thảo Điền, Quận 2, Hồ Chí Minh",79,769,6000000000.0,3.0,2.0,2,10.813972473144531,106.72784423828125,,,4,27088
122,61.0,"Dự án A10-A14 Nam Trung Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội",1,5,3850000000.0,2.0,1.0,2,21.0190563201904,105.787979125977,7,6,1,172
123,73.0,"Dự án New Horizon, Đường Đại Lộ Bình Dương, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",74,718,1898000000.0,2.0,2.0,,10.9674654006958,106.657928466797,,,,25756
124,95.0,"Dự án Eco Dream, Xã Tân Triều, Thanh Trì, Hà Nội",1,20,4450000000.0,3.0,2.0,2,20.9830627441406,105.80908203125,8,5,1,643
125,50.0,"Dự án Vinhomes Star City, Đường Lê Lợi, Phường Đông Hải, Thanh Hóa, Thanh Hóa.",38,380,,2.0,2.0,2,19.80585479736328,105.79133605957031,,,1,14797
126,47.0,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",1,18,1800000000.0,1.0,1.0,3,21.0024147033691,105.964111328125,,,1,571
127,62.0,"Dự án The Sapphire - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",1,19,3200000000.0,2.0,2.0,2,21.006216049194336,105.7364730834961,,,,628
128,117.0,"Dự án Seasons Avenue, Phường Mỗ Lao, Hà Đông, Hà Nội",1,268,6500000000.0,3.0,2.0,2,20.9870262145996,105.786834716797,5,8,1,9541
129,80.0,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",1,18,3050000000.0,3.0,2.0,3,21.0024147033691,105.964111328125,,,1,571
130,76.0,"Dự án The Grand Manhattan, Đường Cô Giang, Phường Cô Giang, Quận 1, Hồ Chí Minh",79,760,9500000000.0,2.0,2.0,,10.7637195587158,106.694580078125,,,,26755
131,32.0,"14, Đường Nguyễn Thị Nghĩa, Phường Bến Thành, Quận 1, Hồ Chí Minh",79,760,2100000000.0,1.0,,,10.7703409,106.6939819,,,1,26743
132,68.88,"Dự án Sky Garden 3, Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Hồ Chí Minh",79,778,3750000000.0,2.0,2.0,2,10.7335033416748,106.70581817627,1,1,1,27490
133,80.6,"Dự án Khu nhà ở cao tầng 102 Trường Chinh, Quận Đống Đa, Hà Nội",1,6,5300000000.0,2.0,2.0,,20.999939,105.83637,3,2,1,
134,266.0,"Dự án Dolphin Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",1,19,15000000000.0,3.0,3.0,2,21.030044555664062,105.77662658691406,3,4,,626
135,42.0,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",1,18,2700000000.0,1.0,1.0,3,20.993993759155273,105.95020294189453,8,5,4,577
136,112.0,"Dự án Tropic Garden, Đường 66, Phường Thảo Điền, Quận 2, Hồ Chí Minh",79,769,6700000000.0,3.0,2.0,2,10.813972473144531,106.72784423828125,,,1,27088
